"zip","city","county","pop"
"22193","Woodbridge","Prince William","82309"
"23464","Virginia Beach","Virginia Beach City","76421"
"22191","Woodbridge","Prince William","71019"
"23462","Virginia Beach","Virginia Beach City","65906"
"23322","Chesapeake","Chesapeake City","64972"
"20147","Ashburn","Loudoun","63878"
"22003","Annandale","Fairfax","59375"
"22030","Fairfax","Fairfax City","59332"
"23452","Virginia Beach","Virginia Beach City","58996"
"23454","Virginia Beach","Virginia Beach City","58904"
"22407","Fredericksburg","Spotsylvania","58826"
"22192","Woodbridge","Prince William","58690"
"23320","Chesapeake","Chesapeake City","57619"
"22554","Stafford","Stafford","57447"
"24060","Blacksburg","Montgomery","55676"
"22204","Arlington","Arlington","54617"
"23456","Virginia Beach","Virginia Beach City","54337"
"23112","Midlothian","Chesterfield","53168"
"20176","Leesburg","Loudoun","52862"
"23223","Richmond","Richmond City","52309"
"23666","Hampton","Hampton City","52249"
"20148","Ashburn","Loudoun","51243"
"20171","Herndon","Fairfax","51093"
"23434","Suffolk","Suffolk City","49625"
"23455","Virginia Beach","Virginia Beach City","49263"
"22304","Alexandria","Alexandria City","48510"
"23185","Williamsburg","James City","47894"
"20110","Manassas","Manassas City","47574"
"24502","Lynchburg","Lynchburg City","46044"
"23234","Richmond","Chesterfield","44783"
"22015","Burke","Fairfax","44523"
"23188","Williamsburg","James City","44499"
"23451","Virginia Beach","Virginia Beach City","43230"
"20109","Manassas","Manassas City","43093"
"23608","Newport News","Newport News City","43058"
"23225","Richmond","Richmond City","42937"
"20170","Herndon","Fairfax","42690"
"20164","Sterling","Loudoun","41684"
"22801","Harrisonburg","Harrisonburg City","41572"
"20120","Centreville","Fairfax","41312"
"23323","Chesapeake","Chesapeake City","41074"
"23669","Hampton","Hampton City","40996"
"22903","Charlottesville","Charlottesville City","40652"
"23224","Richmond","Richmond City","40546"
"22033","Fairfax","Fairfax","39478"
"23602","Newport News","Newport News City","38821"
"22201","Arlington","Arlington","38541"
"24018","Roanoke","Roanoke","38341"
"23832","Chesterfield","Chesterfield","38329"
"23803","Petersburg","Petersburg City","38187"
"24153","Salem","Salem","37849"
"23060","Glen Allen","Henrico","37554"
"22309","Alexandria","Fairfax","37464"
"23111","Mechanicsville","Hanover","36846"
"20155","Gainesville","Prince William","36642"
"23231","Richmond","Henrico","36564"
"22079","Lorton","Fairfax","36559"
"20111","Manassas","Manassas Park City","36375"
"23321","Chesapeake","Chesapeake City","36212"
"23059","Glen Allen","Hanover","36070"
"23831","Chester","Chesterfield","35964"
"24401","Staunton","Staunton City","35718"
"23228","Richmond","Henrico","35704"
"22701","Culpeper","Culpeper","35495"
"22306","Alexandria","Fairfax","35425"
"22901","Charlottesville","Albemarle","35372"
"23229","Richmond","Henrico","35325"
"20152","Chantilly","Loudoun","35302"
"22042","Falls Church","Fairfax","35174"
"23220","Richmond","Richmond City","34934"
"20175","Leesburg","Loudoun","34857"
"22314","Alexandria","Alexandria City","34378"
"22031","Fairfax","Fairfax City","33379"
"22207","Arlington","Arlington","33170"
"23235","Richmond","Chesterfield","32627"
"22312","Alexandria","Fairfax","32566"
"22310","Alexandria","Fairfax","32380"
"22980","Waynesboro","Waynesboro City","32337"
"22630","Front Royal","Warren","32321"
"23503","Norfolk","Norfolk City","31915"
"20165","Sterling","Loudoun","31912"
"22405","Fredericksburg","Stafford","31747"
"24540","Danville","Danville City","31607"
"23233","Richmond","Henrico","31605"
"22032","Fairfax","Fairfax","31201"
"22153","Springfield","Fairfax","31196"
"23116","Mechanicsville","Hanover","31059"
"24073","Christiansburg","Montgomery","30710"
"23435","Suffolk","Suffolk City","30626"
"22152","Springfield","Fairfax","30624"
"23860","Hopewell","Hopewell City","30524"
"23513","Norfolk","Norfolk City","30384"
"22408","Fredericksburg","Spotsylvania","30285"
"23505","Norfolk","Norfolk City","30270"
"24012","Roanoke","Roanoke City","30220"
"20191","Reston","Fairfax","30181"
"22101","Mc Lean","Fairfax","29892"
"20136","Bristow","Prince William","29875"
"22602","Winchester","Frederick","29616"
"22315","Alexandria","Fairfax","29470"
"24112","Martinsville","Martinsville City","29448"
"20121","Centreville","Fairfax","29426"
"23518","Norfolk","Norfolk City","29301"
"22802","Harrisonburg","Rockingham","29069"
"22601","Winchester","Winchester City","28925"
"22150","Springfield","Fairfax","28905"
"23606","Newport News","Newport News City","28772"
"22401","Fredericksburg","Fredericksburg City","28622"
"22041","Falls Church","Fairfax","28429"
"24501","Lynchburg","Lynchburg City","28036"
"24019","Roanoke","Botetourt","27722"
"23222","Richmond","Richmond City","27212"
"24541","Danville","Danville City","27114"
"23703","Portsmouth","Portsmouth City","26655"
"20112","Manassas","Manassas Park City","26648"
"22406","Fredericksburg","Stafford","26256"
"23238","Richmond","Goochland","26132"
"22182","Vienna","Fairfax","26124"
"23834","Colonial Heights","Colonial Heights City","26017"
"23227","Richmond","Henrico","25931"
"22102","Mc Lean","Fairfax","25627"
"24551","Forest","Bedford","25625"
"20169","Haymarket","Prince William","25619"
"22485","King George","King George","25606"
"22202","Arlington","Arlington","25409"
"22902","Charlottesville","Charlottesville City","25245"
"20105","Aldie","Loudoun","25168"
"23113","Midlothian","Chesterfield","25021"
"23601","Newport News","Newport News City","25005"
"22043","Falls Church","Fairfax","24806"
"23237","Richmond","Chesterfield","24711"
"23139","Powhatan","Powhatan","24647"
"22180","Vienna","Fairfax","24366"
"23693","Yorktown","York","24311"
"22203","Arlington","Arlington","24309"
"23236","Richmond","Chesterfield","24286"
"23701","Portsmouth","Portsmouth City","23951"
"23324","Chesapeake","Chesapeake City","23893"
"24017","Roanoke","Roanoke City","23699"
"23504","Norfolk","Norfolk City","23330"
"20151","Chantilly","Fairfax","23068"
"23607","Newport News","Newport News City","23067"
"24141","Radford","Radford","22989"
"22655","Stephens City","Frederick","21982"
"23508","Norfolk","Norfolk City","21697"
"23502","Norfolk","Norfolk City","21363"
"23061","Gloucester","Gloucester","21271"
"22206","Arlington","Arlington","20508"
"24151","Rocky Mount","Franklin","20436"
"20190","Reston","Fairfax","19950"
"24523","Bedford","Bedford City","19711"
"23114","Midlothian","Chesterfield","19628"
"23805","Petersburg","Petersburg City","19440"
"24503","Lynchburg","Lynchburg City","19349"
"22311","Alexandria","Alexandria City","19002"
"22205","Arlington","Arlington","18982"
"20187","Warrenton","Fauquier","18738"
"22046","Falls Church","Falls Church City","18698"
"22305","Alexandria","Alexandria City","18579"
"22124","Oakton","Fairfax","18530"
"23901","Farmville","Prince Edward","18397"
"23692","Yorktown","York","18273"
"24179","Vinton","Roanoke","18258"
"23294","Richmond","Henrico","18091"
"20132","Purcellville","Loudoun","18053"
"22151","Springfield","Fairfax","17917"
"24333","Galax","Galax City","17768"
"22066","Great Falls","Fairfax","17767"
"23005","Ashland","Hanover","17602"
"22039","Fairfax Station","Fairfax","17598"
"23704","Portsmouth","Portsmouth City","17592"
"22302","Alexandria","Alexandria City","17566"
"22911","Charlottesville","Albemarle","17441"
"23430","Smithfield","Isle Of Wight","17245"
"24450","Lexington","Lexington City","17140"
"24572","Madison Heights","Amherst","16691"
"23838","Chesterfield","Chesterfield","16666"
"24014","Roanoke","Roanoke City","16605"
"22963","Palmyra","Fluvanna","16571"
"22026","Dumfries","Prince William","16465"
"23226","Richmond","Henrico","16458"
"24210","Abingdon","Washington","16337"
"22546","Ruther Glen","Caroline","16334"
"24201","Bristol","Bristol","16252"
"23325","Chesapeake","Chesapeake City","16250"
"22603","Winchester","Frederick","16030"
"22553","Spotsylvania","Spotsylvania","15761"
"23847","Emporia","Emporia City","15717"
"22181","Vienna","Fairfax","15350"
"20124","Clifton","Fairfax","15114"
"23221","Richmond","Richmond City","14842"
"20186","Warrenton","Fauquier","14839"
"22508","Locust Grove","Orange","14750"
"23707","Portsmouth","Portsmouth City","14685"
"24015","Roanoke","Roanoke City","14677"
"22303","Alexandria","Fairfax","14558"
"24301","Pulaski","Pulaski","14164"
"23093","Louisa","Louisa","13992"
"24354","Marion","Smyth","13934"
"23605","Newport News","Newport News City","13801"
"23836","Chester","Chesterfield","13787"
"24382","Wytheville","Wythe","13780"
"23511","Norfolk","Norfolk City","13773"
"22044","Falls Church","Fairfax","13616"
"22308","Alexandria","Fairfax","13610"
"23509","Norfolk","Norfolk City","13567"
"23663","Hampton","Hampton City","13528"
"24426","Covington","Covington City","13451"
"23851","Franklin","Franklin City","13437"
"22301","Alexandria","Alexandria City","13377"
"24592","South Boston","Halifax","13342"
"22209","Arlington","Arlington","13227"
"23150","Sandston","Henrico","12862"
"23661","Hampton","Hampton City","12812"
"20194","Reston","Fairfax","12467"
"24055","Bassett","Henry","12402"
"23072","Hayes","Gloucester","12377"
"23875","Prince George","Prince George","12313"
"20166","Sterling","Loudoun","12236"
"23662","Poquoson","Poquoson City","12066"
"22835","Luray","Page","11593"
"24219","Big Stone Gap","Wise","11393"
"24121","Moneta","Bedford","11145"
"24202","Bristol","Bristol","11127"
"23702","Portsmouth","Portsmouth City","11020"
"24084","Dublin","Pulaski","11002"
"24477","Stuarts Draft","Augusta","10894"
"22657","Strasburg","Shenandoah","10738"
"22968","Ruckersville","Greene","10562"
"23120","Moseley","Chesterfield","10478"
"22827","Elkton","Rockingham","10289"
"22960","Orange","Orange","10079"
"24211","Abingdon","Washington","10032"
"23002","Amelia Court House","Amelia","9986"
"24588","Rustburg","Campbell","9936"
"22172","Triangle","Prince William","9934"
"22307","Alexandria","Fairfax","9902"
"24521","Amherst","Amherst","9830"
"22942","Gordonsville","Orange","9774"
"24504","Lynchburg","Lynchburg City","9765"
"24343","Hillsville","Carroll","9597"
"23664","Hampton","Hampton City","9593"
"24293","Wise","Wise","9575"
"22060","Fort Belvoir","Fairfax","9489"
"22664","Woodstock","Shenandoah","9457"
"23075","Highland Springs","Henrico","9414"
"23117","Mineral","Louisa","9353"
"20181","Nokesville","Prince William","9350"
"22815","Broadway","Rockingham","9337"
"23314","Carrollton","Isle Of Wight","9261"
"24522","Appomattox","Appomattox","9206"
"22712","Bealeton","Fauquier","9094"
"24266","Lebanon","Russell","8986"
"22611","Berryville","Clarke","8954"
"22812","Bridgewater","Rockingham","8952"
"23510","Norfolk","Norfolk City","8913"
"22443","Colonial Beach","Westmoreland","8872"
"24531","Chatham","Pittsylvania","8818"
"24016","Roanoke","Roanoke City","8759"
"24416","Buena Vista","Buena Vista City","8756"
"23970","South Hill","Mecklenburg","8616"
"23024","Bumpass","Louisa","8502"
"24013","Roanoke","Roanoke City","8478"
"24148","Ridgeway","Henry","8475"
"24171","Stuart","Patrick","8327"
"24251","Gate City","Scott","8275"
"23936","Dillwyn","Buckingham","8215"
"24175","Troutville","Botetourt","8142"
"24230","Coeburn","Wise","8092"
"24605","Bluefield","Tazewell","7870"
"20141","Round Hill","Loudoun","7853"
"24590","Scottsville","Albemarle","7779"
"24091","Floyd","Floyd","7739"
"22932","Crozet","Albemarle","7721"
"20180","Lovettsville","Loudoun","7705"
"23168","Toano","James City","7703"
"24557","Gretna","Pittsylvania","7696"
"23523","Norfolk","Norfolk City","7561"
"22134","Quantico","Prince William","7537"
"24078","Collinsville","Henry","7527"
"24550","Evington","Campbell","7272"
"24319","Chilhowie","Smyth","7228"
"22572","Warsaw","Richmond","7227"
"24614","Grundy","Buchanan","7198"
"24630","North Tazewell","Tazewell","7148"
"20115","Marshall","Fauquier","7142"
"24609","Cedar Bluff","Tazewell","7136"
"23141","Quinton","New Kent","7026"
"23868","Lawrenceville","Brunswick","6986"
"24277","Pennington Gap","Lee","6906"
"23192","Montpelier","Hanover","6903"
"23604","Fort Eustis","Newport News City","6900"
"23230","Richmond","Henrico","6871"
"24370","Saltville","Smyth","6821"
"23507","Norfolk","Norfolk City","6795"
"23009","Aylett","King William","6629"
"23824","Blackstone","Nottoway","6476"
"23842","Disputanta","Prince George","6458"
"24228","Clintwood","Dickenson","6449"
"22560","Tappahannock","Essex","6435"
"23140","Providence Forge","New Kent","6431"
"22939","Fishersville","Augusta","6369"
"24054","Axton","Henry","6367"
"23665","Hampton","Hampton City","6363"
"24101","Hardy","Bedford","6290"
"22824","Edinburg","Shenandoah","6253"
"24441","Grottoes","Rockingham","6190"
"24065","Boones Mill","Franklin","6098"
"24273","Norton","Norton City","6072"
"22851","Stanley","Page","6057"
"24340","Glade Spring","Washington","6050"
"24422","Clifton Forge","Alleghany","5924"
"22973","Stanardsville","Greene","5915"
"24244","Duffield","Scott","5881"
"24263","Jonesville","Lee","5875"
"24224","Castlewood","Russell","5866"
"24586","Ringgold","Pittsylvania","5819"
"24558","Halifax","Halifax","5813"
"24360","Max Meadows","Wythe","5802"
"24361","Meadowview","Washington","5795"
"22727","Madison","Madison","5765"
"23801","Fort Lee","Prince George","5763"
"23487","Windsor","Isle Of Wight","5728"
"23089","Lanexa","New Kent","5695"
"24651","Tazewell","Tazewell","5665"
"22923","Barboursville","Orange","5653"
"22520","Montross","Westmoreland","5636"
"23924","Chase City","Mecklenburg","5625"
"23974","Victoria","Lunenburg","5608"
"24538","Concord","Campbell","5591"
"23103","Manakin Sabot","Goochland","5525"
"24641","Richlands","Tazewell","5489"
"24088","Ferrum","Franklin","5472"
"22821","Dayton","Rockingham","5428"
"22842","Mount Jackson","Shenandoah","5374"
"22427","Bowling Green","Caroline","5349"
"24260","Honaker","Russell","5340"
"22849","Shenandoah","Page","5318"
"24066","Buchanan","Botetourt","5295"
"24563","Hurt","Pittsylvania","5290"
"24482","Verona","Augusta","5267"
"24368","Rural Retreat","Wythe","5252"
"24279","Pound","Wise","5247"
"23181","West Point","King William","5232"
"24134","Pearisburg","Giles","5200"
"22974","Troy","Fluvanna","5115"
"20106","Amissville","Rappahannock","5087"
"22580","Woodford","Caroline","5074"
"22473","Heathsville","Northumberland","5061"
"24064","Blue Ridge","Botetourt","5046"
"24090","Fincastle","Botetourt","5028"
"22642","Linden","Warren","5022"
"23930","Crewe","Nottoway","4919"
"22936","Earlysville","Albemarle","4891"
"22904","Charlottesville","Charlottesville City","4834"
"22844","New Market","Shenandoah","4802"
"24124","Narrows","Giles","4785"
"23030","Charles City","Charles City","4765"
"24348","Independence","Grayson","4760"
"23040","Cumberland","Cumberland","4747"
"24517","Altavista","Campbell","4743"
"24577","Nathalie","Halifax","4720"
"23063","Goochland","Goochland","4720"
"22840","Mc Gaheysville","Rockingham","4679"
"20158","Hamilton","Loudoun","4610"
"24184","Wirtz","Franklin","4586"
"23922","Burkeville","Nottoway","4551"
"23517","Norfolk","Norfolk City","4543"
"23124","New Kent","New Kent","4526"
"23219","Richmond","Richmond City","4504"
"23421","Parksley","Accomack","4423"
"23837","Courtland","Southampton","4406"
"23890","Waverly","Sussex","4396"
"23690","Yorktown","York","4374"
"23310","Cape Charles","Northampton","4351"
"24095","Goodview","Bedford","4332"
"23437","Suffolk","Suffolk City","4308"
"22645","Middletown","Frederick","4279"
"23457","Virginia Beach","Virginia Beach City","4180"
"23927","Clarksville","Mecklenburg","4074"
"24421","Churchville","Augusta","4029"
"24574","Monroe","Amherst","4009"
"22853","Timberville","Rockingham","3982"
"22947","Keswick","Albemarle","3956"
"24554","Gladys","Campbell","3952"
"23947","Keysville","Charlotte","3927"
"23603","Newport News","Newport News City","3907"
"24317","Cana","Carroll","3903"
"22920","Afton","Nelson","3876"
"23950","La Crosse","Mecklenburg","3870"
"24127","New Castle","Craig","3860"
"23015","Beaverdam","Hanover","3853"
"20119","Catlett","Fauquier","3850"
"24430","Craigsville","Augusta","3829"
"24381","Woodlawn","Carroll","3826"
"24549","Dry Fork","Pittsylvania","3805"
"24087","Elliston","Roanoke","3789"
"23420","Painter","Accomack","3739"
"22213","Arlington","Arlington","3713"
"23696","Seaford","York","3696"
"24637","Pounding Mill","Tazewell","3683"
"23086","King William","King William","3638"
"24315","Bland","Bland","3563"
"22567","Unionville","Orange","3552"
"23350","Exmore","Northampton","3551"
"22656","Stephenson","Frederick","3527"
"22734","Remington","Fauquier","3480"
"24256","Haysi","Dickenson","3471"
"22625","Cross Junction","Frederick","3469"
"24104","Huddleston","Bedford","3452"
"23417","Onancock","Accomack","3438"
"24639","Raven","Buchanan","3412"
"24149","Riner","Montgomery","3401"
"22737","Rixeyville","Culpeper","3348"
"23958","Pamplin","Appomattox","3318"
"23102","Maidens","Goochland","3312"
"24486","Weyers Cave","Augusta","3304"
"23841","Dinwiddie","Dinwiddie","3266"
"23146","Rockville","Hanover","3257"
"22534","Partlow","Spotsylvania","3228"
"24556","Goode","Bedford","3218"
"22503","Lancaster","Lancaster","3208"
"20135","Bluemont","Loudoun","3187"
"22482","Kilmarnock","Lancaster","3173"
"24589","Scottsburg","Halifax","3170"
"22807","Harrisonburg","Harrisonburg City","3161"
"24136","Pembroke","Giles","3156"
"24528","Brookneal","Campbell","3126"
"23149","Saluda","Middlesex","3116"
